url,title,price_eur,mileage_km,year
https://www.polovniautomobili.com/auto-oglasi/27203603/volvo-xc60-r-design-awd-hybrid?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 R-DESIGN AWD HYBRID,28500.0,187416,2021
https://www.polovniautomobili.com/auto-oglasi/25797914/volvo-xc60-20-b4-awd-hybrid?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 2.0 B4 AWD HYBRID (može zamena),27890.0,156000,2021
https://www.polovniautomobili.com/auto-oglasi/26819924/volvo-xc60-b5-r-design4x4?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B5/ R design/4x4,39990.0,60000,2022
https://www.polovniautomobili.com/auto-oglasi/25260132/volvo-xc60-b4-d-plus-dark?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 D plus dark,37800.0,83000,2022
https://www.polovniautomobili.com/auto-oglasi/25361752/volvo-xc60-20-b4-awd-r-design?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 2.0 B4 Awd R-design,33900.0,116986,2021
https://www.polovniautomobili.com/auto-oglasi/27112148/volvo-xc60-ultimatebright?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 UltimateBright,32700.0,162300,2022
https://www.polovniautomobili.com/auto-oglasi/25360811/volvo-xc60-b4-awd-hibryd?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 AWD HIBRYD,28400.0,209000,2020
https://www.polovniautomobili.com/auto-oglasi/26980182/volvo-xc60-t8-awd-r-design?attp=p7_pv0_pc1_pl1_plv0,Volvo XC60 T8 AWD R DESIGN (može zamena),38990.0,95655,2020
https://www.polovniautomobili.com/auto-oglasi/27256435/volvo-xc60-b4-d-awd-core?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 D AWD Core (može zamena),50990.0,200,2024
https://www.polovniautomobili.com/auto-oglasi/27255217/volvo-xc60-b4-d-awd-core?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 D AWD Core (može zamena),50990.0,629,2024
https://www.polovniautomobili.com/auto-oglasi/26311697/volvo-xc60-b4-d-mildhibrid-4x4?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 D mildhibrid 4x4,36900.0,51000,2022
https://www.polovniautomobili.com/auto-oglasi/26560330/volvo-xc60-awd-momentum?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 AWD Momentum,29000.0,130000,2021
https://www.polovniautomobili.com/auto-oglasi/26672446/volvo-xc60-20-hybrid-4x4-aut?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 2.0 HYBRID 4X4 AUT (može zamena),38799.0,96913,2022
https://www.polovniautomobili.com/auto-oglasi/25389896/volvo-xc60-b5-awd-hibryd?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B5 AWD HIBRYD (može zamena),34999.0,173000,2021
https://www.polovniautomobili.com/auto-oglasi/26753092/volvo-xc60-20?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 2.0,36000.0,136000,2021
https://www.polovniautomobili.com/auto-oglasi/26772189/volvo-xc60-b4-r-design-awd?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 R Design AWD (može zamena),27990.0,178500,2020
https://www.polovniautomobili.com/auto-oglasi/26382235/volvo-xc60-hybrid-20-d4-awd?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 HYBRID 2.0 D4 AWD (može zamena),29999.0,191000,2020
https://www.polovniautomobili.com/auto-oglasi/26837284/volvo-xc60-awd-pano360harman?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 AWD PANO/360/HARMAN,36990.0,58250,2021
https://www.polovniautomobili.com/auto-oglasi/27231087/volvo-xc60?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60  (može zamena),28600.0,212000,2021
https://www.polovniautomobili.com/auto-oglasi/26780008/volvo-xc60-b4-d-awd-plus-dark?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 D AWD Plus Dark (može zamena),55990.0,12500,2023
https://www.polovniautomobili.com/auto-oglasi/26871691/volvo-xc60-b4-d-awd-plus-dark?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 D AWD Plus Dark (može zamena),56990.0,7885,2023
https://www.polovniautomobili.com/auto-oglasi/26960421/volvo-xc60-black-edition-t8-awd?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 Black Edition T8 AWD,62500.0,30000,2024
https://www.polovniautomobili.com/auto-oglasi/26951233/volvo-xc60-20dmomentum4x4?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 2.0d/Momentum/4x4,25990.0,165023,2020
https://www.polovniautomobili.com/auto-oglasi/25124398/volvo-xc60-hybrid-b5?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 hybrid B5,38950.0,57853,2022
https://www.polovniautomobili.com/auto-oglasi/27200783/volvo-xc60-r-design-hibrid?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 R design hibrid,40990.0,113000,2022
https://www.polovniautomobili.com/auto-oglasi/26188538/volvo-xc60-b4-inscription?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 Inscription,30800.0,162900,2020
https://www.polovniautomobili.com/auto-oglasi/27197821/volvo-xc60-b4-awd-inscription?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 B4 AWD INSCRIPTION,39900.0,99000,2022
https://www.polovniautomobili.com/auto-oglasi/27192166/volvo-xc60-d3?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 D3,26000.0,87000,2020
https://www.polovniautomobili.com/auto-oglasi/27189709/volvo-xc60-awd360-kam?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 AWD/360 kam,37990.0,132500,2021
https://www.polovniautomobili.com/auto-oglasi/27168530/volvo-xc60?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60,34490.0,102000,2020
https://www.polovniautomobili.com/auto-oglasi/26171474/volvo-xc60-inscription?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 inscription,34900.0,120000,2021
https://www.polovniautomobili.com/auto-oglasi/25944347/volvo-xc60-20-b4-mild-hibrid?attp=p0_pv0_pc0_pl1_plv0,Volvo XC60 2.0 B4 Mild hibrid,30450.0,211000,2021
